Sl.No,Lane,VehicleType,Entry,Exit
222,1,2,1446.37,1449.83
223,1,2,1472.33,1477
224,2,1,1477,1481.03
225,2,4,1489.03,1493.23
226,1,2,1494.57,1501.07
227,1,2,1503.57,1508.03
228,1,2,1508.58,1512.08
229,1,2,1519.86,1524.75
230,1,2,1524.67,1528.81
231,1,2,1526.49,1530.02
232,1,5,1534.34,1549.34
233,2,2,1536.01,1540.3
234,1,3,1550.95,1554.75
235,1,2,1556.07,1560.82
236,1,1,1577.89,1581.09
237,1,2,1578.77,1583.61
238,2,1,1581.36,1585.04
239,1,2,1581.46,1584.74
240,1,1,1588.48,1593.91
241,1,3,1588.59,1592.04
242,1,3,1590.3,1594.31
243,1,3,1593.11,1596.71
244,1,1,1604.8,1608.01
245,1,2,1612.14,1617.37
246,1,3,1652.13,1656.37
247,1,1,1655.03,1659.62
248,1,3,1665.46,1668.87
249,1,1,1669.81,1673.12
250,2,2,1671.07,1675.74
251,1,3,1674.77,1678.79
252,1,4,1689.27,1695.03
253,1,2,1694.31,1698.12
254,2,2,1729.61,1733.54
255,1,1,1735.9,1739.43
256,1,3,1744.3,1748.88
257,2,2,1745.44,1749.22
258,1,6,1758.16,1764.9
259,1,1,1759.6,1762.82
260,1,3,1760.73,1765.83
261,1,6,1766.7,1772.01
262,1,1,1781.82,1785.57
263,1,3,1783.71,1788.66
264,1,2,1784.63,1787.92
265,2,7,1786.56,1791.11
266,1,2,1798.29,1802.19
267,2,3,1801.46,1806.09
268,1,2,1809.4,1815.39
269,2,7,1837.48,1843.24
270,1,1,1857.99,1861.94
271,1,3,1864.01,1867.44
272,1,2,1865.67,1869.45
273,1,2,1869.29,1874.21
274,1,3,1901.9,1906.01
275,1,1,1912.45,1917.41
276,1,2,1935.42,1939.53
277,1,1,1937.1,1940.61
278,2,2,1938.38,1942
279,1,2,1938.87,1942.9
280,2,7,1942.9,1950.44
281,1,3,1949.18,1952.98
282,1,3,1950.44,1954.54
283,1,7,1966.23,1978.03
284,2,2,1967.25,1971.02
